"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","core_enrichment_symbol"
"R-HSA-198933","Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell",127,0.547842316907007,2.36019603361193,1e-10,1.85397953325869e-09,6.37368421052632e-08,1990,"tags=55%, list=11%, signal=50%","6614/339390/114836/114132/926/10859/925/3683/27036/27180/6402/11126/917/100528032/22914/4068/2209/916/3689/2214/915/3824/11024/11006/126014/10225/10870/3805/945/54209/10288/11025/3903/146722/959/3904/3695/353514/11027/81035/10990/340205/10666/57823/10219/29992/9437/930/120425/3676/3821/259197/7305/23547/2213/3385/131450/10871/89790/79865/919/342510/4277/11314/933/27181/29121/124599/89858/8778","SIGLEC1, CLEC4G, SLAMF6, SIGLEC11, CD8B, LILRB1, CD8A, ITGAL, SIGLEC7, SIGLEC9, SELL, CD160, CD3G, KLRC4-KLRK1, KLRK1, SH2D1A, FCGR1A, CD3E, ITGB2, FCGR3A, CD3D, KLRD1, LILRA1, LILRB4, OSCAR, CD96, HCST, KIR2DL4, CD33, TREM2, LILRB2, LILRB3, LAIR1, CD300LF, CD40LG, LAIR2, ITGB7, LILRA5, LILRA2, COLEC12, LILRB5, TREML1, CD226, SLAMF7, KLRG1, PILRA, NCR1, CD19, JAML, ITGA4, KLRC1, NCR3, TYROBP, LILRA4, FCGR2B, ICAM3, CD200R1, CD300C, SIGLEC10, TREML2, CD247, CD300E, MICB, CD300A, CD22, SIGLEC8, CLEC2D, CD300LB, SIGLEC12, SIGLEC5"
"R-HSA-1474244","Extracellular matrix organization",280,-0.585133676025771,-1.94641685710799,1e-10,1.85397953325869e-09,6.37368421052632e-08,2986,"tags=47%, list=16%, signal=40%","3384/3673/10753/440854/10516/6385/827/22801/1286/780/2202/649/84171/7093/3696/91522/10893/2192/2247/5175/147968/85301/1294/375790/3655/170692/3691/1289/1404/30008/9508/7148/7087/3909/4316/7042/2199/977/8515/999/7412/170690/5118/3680/7092/3694/1758/1285/10536/169044/3675/650/5155/351/11095/90187/5054/2200/1295/4038/4017/3383/4052/2006/1307/4016/3690/59277/1278/3672/4239/1280/3918/84570/3908/3913/3915/3911/7043/4324/1463/11131/1281/3912/58494/1305/4921/4320/652/63923/56999/4312/3371/633/871/3679/5154/80781/8516/283208/1290/4148/3910/7373/1756/1291/7837/1292/1277/9510/50509/7450/6678/11096/4237/4325/4811/22795/4319/1303/1284/83700/3386/1282/1306/176/3339/81578/3791/54829/9507/10319","ICAM2, ITGA2, CAPN9, CAPN14, FBLN5, SDC4, CAPN6, ITGA11, COL4A4, DDR1, EFEMP1, BMP1, LOXL4, TLL2, ITGB8, COL23A1, MMP24, FBLN1, FGF2, PECAM1, CAPN12, COL27A1, COL7A1, AGRN, ITGA6, ADAMTS18, ITGB4, COL5A1, HAPLN1, EFEMP2, ADAMTS3, TNXB, ICAM5, LAMA3, MMP7, TGFB2, FBLN2, CD151, ITGA10, CDH1, VCAM1, ADAMTS16, PCOLCE, ITGA9, TLL1, ITGB6, DMP1, COL4A3, P3H3, COL22A1, ITGA3, BMP2, PDGFB, APP, ADAMTS8, EMILIN3, SERPINE1, FBN1, COL8A1, LRP4, LOXL2, ICAM1, LTBP1, ELN, COL16A1, LOXL1, ITGB3, NTN4, COL1A2, ITGA1, MFAP4, COL2A1, LAMC2, COL25A1, LAMA2, LAMB2, LAMC1, LAMA5, TGFB3, MMP15, NCAN, CAPN11, COL3A1, LAMB1, JAM2, COL13A1, DDR2, MMP11, BMP4, TNN, ADAMTS9, MMP1, TNC, BGN, SERPINH1, ITGA7, PDGFA, COL18A1, ITGA8, P4HA3, COL5A2, MATN3, LAMA4, COL14A1, DMD, COL6A1, PXDN, COL6A2, COL1A1, ADAMTS1, COL5A3, VWF, SPARC, ADAMTS5, MFAP2, MMP16, NID1, NID2, MMP10, COL12A1, COL4A2, JAM3, ICAM4, COL4A1, COL15A1, ACAN, HSPG2, COL21A1, KDR, ASPN, ADAMTS4, LAMC3"
"R-HSA-3000178","ECM proteoglycans",71,-0.697645511035864,-2.08836615623664,4.18292460183724e-10,6.67841939270605e-09,1.77737603257014e-07,2242,"tags=59%, list=12%, signal=52%","375790/1289/1404/7148/3909/7042/3680/3694/1758/1285/351/5054/4038/3690/1278/1280/3908/3913/3915/3911/7043/1463/1281/3912/63923/3371/633/3679/8516/1290/4148/3910/1291/1292/1277/50509/6678/1284/1282/176/3339/54829","AGRN, COL5A1, HAPLN1, TNXB, LAMA3, TGFB2, ITGA9, ITGB6, DMP1, COL4A3, APP, SERPINE1, LRP4, ITGB3, COL1A2, COL2A1, LAMA2, LAMB2, LAMC1, LAMA5, TGFB3, NCAN, COL3A1, LAMB1, TNN, TNC, BGN, ITGA7, ITGA8, COL5A2, MATN3, LAMA4, COL6A1, COL6A2, COL1A1, COL5A3, SPARC, COL4A2, COL4A1, ACAN, HSPG2, ASPN"
"R-HSA-3000171","Non-integrin membrane-ECM interactions",56,-0.726671417231408,-2.10347778363727,3.64784042046534e-09,4.63967690012319e-08,1.16250914452198e-06,3630,"tags=71%, list=20%, signal=58%","284217/3914/1605/3688/1287/3673/6385/1286/780/2247/375790/3655/3691/1289/3909/1285/5155/3690/59277/1278/1280/3918/3908/3913/3915/3911/1281/3912/4921/3371/5154/1290/3910/1756/1277/50509/1284/1282/3339/10319","LAMA1, LAMB3, DAG1, ITGB1, COL4A5, ITGA2, SDC4, COL4A4, DDR1, FGF2, AGRN, ITGA6, ITGB4, COL5A1, LAMA3, COL4A3, PDGFB, ITGB3, NTN4, COL1A2, COL2A1, LAMC2, LAMA2, LAMB2, LAMC1, LAMA5, COL3A1, LAMB1, DDR2, TNC, PDGFA, COL5A2, LAMA4, DMD, COL1A1, COL5A3, COL4A2, COL4A1, HSPG2, LAMC3"
"R-HSA-397014","Muscle contraction",178,-0.552952456838371,-1.793997815433,1.59562724293898e-08,1.6363914425761e-07,4.06800966568232e-06,4260,"tags=49%, list=23%, signal=38%","10699/89822/4636/2281/3759/10008/3752/4311/3777/7431/302/11280/29767/6547/2259/2258/30820/9992/4882/4606/80333/481/10089/1760/3757/3767/7139/6263/3770/486/6543/10060/7111/53826/3775/7220/7125/60598/30818/51305/10580/8913/477/8645/6588/3751/845/3776/7414/6332/88/7169/3672/5349/5348/7168/800/3768/4638/25937/8912/4881/816/1674/10398/70/4880/4635/3741/8654/482/1756/59/59283/59284/6329/23704/72/25802/4634/6330/4629/5350/2977/775/783/2257","CORIN, KCNK17, MYL5, FKBP1B, KCNJ2, KCNE3, KCND3, MME, KCNK3, VIM, ANXA2, SCN11A, TMOD2, SLC8A3, FGF14, FGF13, KCNIP1, KCNE2, NPR2, MYBPC2, KCNIP4, ATP1B1, KCNK7, DMPK, KCNH2, KCNJ11, TNNT2, RYR3, KCNJ14, FXYD2, SLC8A2, ABCC9, TMOD1, FXYD6, KCNK1, TRPC1, TNNC2, KCNK15, KCNIP3, KCNK9, SORBS1, CACNA1G, ATP1A2, KCNK5, SLN, KCND2, CASQ2, KCNK2, VCL, SCN7A, ACTN2, TPM2, ITGA1, FXYD3, FXYD1, TPM1, CALD1, KCNJ12, MYLK, WWTR1, CACNA1H, NPR1, CAMK2B, DES, MYL9, ACTC1, NPPC, MYL4, KCNA5, PDE5A, ATP1B2, DMD, ACTA2, CACNG8, CACNG7, SCN4A, KCNE4, ACTG2, LMOD1, MYL3, SCN4B, MYH11, PLN, GUCY1A2, CACNA1C, CACNB2, FGF12"
"R-HSA-1474228","Degradation of the extracellular matrix",128,-0.593239615007574,-1.8898277493311,2.19042528439657e-08,2.16728698913886e-07,4.65369301649867e-06,2933,"tags=44%, list=16%, signal=37%","10753/440854/827/1286/649/7093/91522/10893/147968/1294/170692/1289/3909/4316/999/170690/7092/1285/11095/2200/1295/2006/1307/1278/1280/3918/84570/3915/3911/4324/11131/1281/3912/1305/4320/56999/4312/80781/1290/7373/1291/1292/1277/9510/50509/11096/4325/4811/4319/1303/1284/1282/1306/176/3339/9507","CAPN9, CAPN14, CAPN6, COL4A4, BMP1, TLL2, COL23A1, MMP24, CAPN12, COL7A1, ADAMTS18, COL5A1, LAMA3, MMP7, CDH1, ADAMTS16, TLL1, COL4A3, ADAMTS8, FBN1, COL8A1, ELN, COL16A1, COL1A2, COL2A1, LAMC2, COL25A1, LAMC1, LAMA5, MMP15, CAPN11, COL3A1, LAMB1, COL13A1, MMP11, ADAMTS9, MMP1, COL18A1, COL5A2, COL14A1, COL6A1, COL6A2, COL1A1, ADAMTS1, COL5A3, ADAMTS5, MMP16, NID1, MMP10, COL12A1, COL4A2, COL4A1, COL15A1, ACAN, HSPG2, ADAMTS4"
"R-HSA-3000157","Laminin interactions",29,-0.793096144228651,-2.07292475284945,5.08674561799541e-08,4.38458748054205e-07,9.26323149382322e-06,3630,"tags=97%, list=20%, signal=78%","284217/3914/3688/1287/3673/1286/1294/3655/3691/3909/1285/3675/3672/3918/3908/3913/3915/3911/3912/3679/80781/3910/4811/22795/1284/1282/3339/10319","LAMA1, LAMB3, ITGB1, COL4A5, ITGA2, COL4A4, COL7A1, ITGA6, ITGB4, LAMA3, COL4A3, ITGA3, ITGA1, LAMC2, LAMA2, LAMB2, LAMC1, LAMA5, LAMB1, ITGA7, COL18A1, LAMA4, NID1, NID2, COL4A2, COL4A1, HSPG2, LAMC3"
"R-HSA-2172127","DAP12 interactions",41,0.709617875958028,2.4779228592251,9.80449971674142e-08,7.6957106715205e-07,1.56226962591761e-05,2457,"tags=49%, list=13%, signal=42%","284266/3932/23601/100528032/22914/3822/3824/27040/6850/9402/54209/695/100049587/7305/10326/342510/2885/124599/3937/5336","SIGLEC15, LCK, CLEC5A, KLRC4-KLRK1, KLRK1, KLRC2, KLRD1, LAT, SYK, GRAP2, TREM2, BTK, SIGLEC14, TYROBP, SIRPB1, CD300E, GRB2, CD300LB, LCP2, PLCG2"
"R-HSA-202427","Phosphorylation of CD3 and TCR zeta chains",20,0.824257447043074,2.53445769552521,1.28972376414446e-07,9.79492912769173e-07,1.65528619050161e-05,1591,"tags=75%, list=9%, signal=69%","3932/917/916/915/5788/920/26191/1445/5795/3122/3113/3117/919/3115/3118","LCK, CD3G, CD3E, CD3D, PTPRC, CD4, PTPN22, CSK, PTPRJ, HLA-DRA, HLA-DPA1, HLA-DQA1, CD247, HLA-DPB1, HLA-DQA2"
"R-HSA-1474290","Collagen formation",85,-0.628631815031065,-1.92827242385285,1.29853169362224e-07,9.80880123408197e-07,1.65528619050161e-05,3631,"tags=60%, list=20%, signal=48%","5351/3914/4015/1297/5352/1287/55214/1286/649/84171/7093/91522/85301/1294/3655/3691/1289/9508/3909/4316/977/5118/7092/1285/10536/169044/1295/4017/1307/4016/1278/1280/3918/84570/1281/1305/871/80781/283208/1290/7373/1291/7837/1292/1277/50509/1303/1284/1282/1306/81578","PLOD1, LAMB3, LOX, COL9A1, PLOD2, COL4A5, P3H2, COL4A4, BMP1, LOXL4, TLL2, COL23A1, COL27A1, COL7A1, ITGA6, ITGB4, COL5A1, ADAMTS3, LAMA3, MMP7, CD151, PCOLCE, TLL1, COL4A3, P3H3, COL22A1, COL8A1, LOXL2, COL16A1, LOXL1, COL1A2, COL2A1, LAMC2, COL25A1, COL3A1, COL13A1, SERPINH1, COL18A1, P4HA3, COL5A2, COL14A1, COL6A1, PXDN, COL6A2, COL1A1, COL5A3, COL12A1, COL4A2, COL4A1, COL15A1, COL21A1"
